station_name,station_code,station_lat,station_long
Okha ,OKHA,22.4666667,69.0713889
Bhatiya ,BHTA,22.0896269,69.2788136
Kalyanpur Road ,KPRD,22.049849,69.3346399
Phuleswar ,FLR,23.0983776,69.6102617
Porbandar ,PBR,21.6417069,69.6292654
Khambhaliya ,KMBL,22.2,69.65
Bhuj ,BHUJ,23.2419997,69.6669324
Lalpur Jam ,LPJ,22.2216959,69.6740304
Ranavav ,RWO,21.6833,69.75
Bhanvad ,BNVD,21.9333,69.7833
Gop Jam ,GOP,22.0366829,69.8910101
Jawaharnagar ,JWNR,23.3624519,70.0205404
Anjar ,AJE,23.115815,70.0294726
Jam Jodhpur Junction ,JDH,21.9025447,70.0337715
Jamnagar ,JAM,22.4707019,70.05773
Adipur ,AI,23.0723221,70.0890178
Gandhidham Junction. ,GIM,23.0833,70.1333
Gandhidham Bg ,GIMB,23.0687895,70.1479992
Paneli Moti ,PLM,21.87342,70.1559994
Alia Bada ,ALB,22.4455282,70.2088355
Bhayavadar ,BHY,21.8531533,70.2452971
Keshod ,KSD,21.2997164,70.2492882
Munabao ,MBF,25.7446275,70.2780362
Upleta ,UA,21.7333,70.2833
Chorvad Road ,CVR,21.0549532,70.2904059
Maliya Hatina ,MLHA,21.1592784,70.2995202
Jam Wanthali ,WTJ,22.4339198,70.3256534
Bhachau ,BCO,23.2930388,70.339045
Veraval ,VRL,20.9158979,70.3628516
Somnath ,SMNH,20.9060022,70.3843721
Junagadh Junction ,JND,22.060744,70.3875379
Jaliya Devani ,JALD,22.4192049,70.401535
Jallalabd ,JBD,34.4341667,70.4477778
Dhoraji ,DJI,21.7333,70.45
Navagadh ,NUD,21.522184,70.4578768
Hadmatiya Junction ,HM,22.4282522,70.4709448
Samakhiali ,SIO,23.3031522,70.505669
Samakhiali B G ,SIOB,23.3031522,70.505669
Jetalsar Junction ,JLR,21.7289583,70.5711141
Hadmadiya ,HRM,21.9743678,70.5919357
Padadhari ,PDH,22.4333,70.6
Betavad ,BEW,22.0230001,70.6157308
Chitrod ,COE,23.4093135,70.6767004
Gomta ,GTT,21.8739622,70.7299858
Sihapar ,SIPR,22.1591251,70.7941564
Rajkot Junction ,RJT,22.3113848,70.7992136
Gondal ,GDL,21.97,70.8
Bhakti Nagar ,BKNG,22.2724808,70.8090222
Kodiyar Mandir ,KDMR,20.9746448,70.8281284
Morbi ,MVI,22.8167,70.8333
Sindhawadar ,SDD,22.5474516,70.8937474
Jaisalmer ,JSM,26.9157487,70.9083443
Sakhpur ,SKR,21.226626,70.9635962
Adesar ,AAR,23.5580562,70.9814281
Daladi ,DL,22.5831787,71.0690907
Dodhi ,DHE,21.0490072,71.0702049
Hamira ,HMR,26.9996465,71.0765188
Virpur ,VRR,22.2050438,71.0794901
Piprala ,PFL,23.6541043,71.0854325
Morthala ,MXO,22.5987951,71.1151431
Santalpur ,SNLR,23.7630716,71.1671315
Halvad ,HVD,23.0167,71.1833
Than Junction ,THAN,22.578107,71.209946
Savarkundla ,SVKD,21.3358333,71.3077778
Liliya Mota ,LMO,21.5369075,71.3675927
Barmer ,BME,25.75,71.3833
Varahi ,VRX,23.7934418,71.4447785
Khileriyan ,KLYN,25.1808448,71.4477469
Rajula City ,RJU,21.0411065,71.4488241
Muli Road ,MOL,22.6388616,71.4599774
Dhrangdhra ,DHG,22.9832248,71.474461
Rajula Junction ,RLA,21.1038192,71.4790732
Utarlai ,UTL,25.8130304,71.4833652
Dhasa Junction ,DAS,21.7837522,71.516476
Shribdrya Lathi ,SBLT,27.0310609,71.5165687
Bhabhar ,BAH,24.0703321,71.5990999
Radhanpur ,RDHP,23.8286354,71.6139348
Nokhra ,NKRA,25.4783653,71.6183852
Sanganapur ,SNGR,22.3603297,71.6406361
Jorawarnagar Junction ,JVN,22.7128818,71.6410274
Surendranagar G ,SRGT,22.7201319,71.649536
Surendranagar ,SUNR,22.7201319,71.649536
Botad Junction ,BTD,22.1829406,71.6656666
Ranpur ,RUR,22.352089,71.7177611
Ujalvav ,UJ,21.9004594,71.7355566
Sanosra ,SOA,21.73,71.76
Lathidad ,LTD,22.1087818,71.7678444
Baytu ,BUT,25.8990081,71.7711448
Sarangpur ,SFW,22.1572526,71.7711448
Diyodar ,DEOR,24.1094713,71.7770757
Lakhtar ,LTR,22.8553612,71.791766
Limbdi ,LM,22.5663018,71.7963228
Bajud ,BJUD,21.754279,71.8393443
Ashapura Gomat ,AQG,26.9507296,71.8931708
Pokran ,POK,26.9205411,71.9165463
Ramdevra ,RDRA,27.0116441,71.9193859
Malanpur ,MLAR,23.2461792,71.92235
Sihor Gujarat ,SOJN,21.7216385,71.957917
Dhanera ,DQN,24.5063838,72.0258406
Bildi ,BILD,24.1889555,72.0290387
Bhildi ,BLDI,24.1889555,72.0290387
Viramgam Junction ,VG,23.1288677,72.0529273
Vartej ,VTJ,21.7333,72.0667
Lakadiya ,LKZ,21.4601375,72.0882938
Bhavanagar Para ,BVP,21.7605545,72.1134736
Nawapara Road ,NPD,21.7715261,72.1475684
Bhavnagar Trmus ,BVC,21.7644725,72.1519304
Disa ,DISA,24.2585031,72.1906721
Ambliyasan ,UMN,23.8236375,72.2023262
Raniwara ,RNV,24.7509966,72.2052874
Alai ,ALJ,39.7384947,72.217967
Jaitsar ,JES,26.5924847,72.2186128
Bhuteshwar ,BTSR,21.6860519,72.2200934
Balotra Junction ,BLT,25.8302356,72.2471852
Bhone ,BHNE,31.7746241,72.2556244
Marwar Bhinmal ,MBNL,25.0011207,72.2756839
Bhesana ,BFY,23.4893457,72.3414726
Bap ,BAF,27.401901,72.353082
Dholi ,DOL,22.583004,72.3599709
Siddhpur ,SID,23.9196207,72.3668366
Dharewada ,DRW,23.9739383,72.3799476
Malhar ,MAAR,27.2021355,72.3821672
Sanand ,SAU,22.9833,72.3833
Bhandu Motidau ,BHU,23.6951699,72.3866062
Kamli ,KMLI,23.8569205,72.3991831
Unjha ,UJA,23.8,72.4
Chhapi ,CHP,24.0338572,72.4006627
Jagudan ,JDN,23.5177289,72.4124991
Palanpur Junction ,PNU,24.1714077,72.4325927
