12844,Adi Puri Express,ADI:0:ND:46:ANND:64:BRC:100:BH:170:ST:229:NDB:389:JL:540:BSL:564:MKU:614:AK:704:BD:783:WR:878:NGP:957:BRD:1019:G:1087:DGG:1160:RJN:1191:DURG:1221:BPHB:1230:R:1257:MSMD:1311:BGBR:1342:KRAR:1363:KBJ:1427:TIG:1460:KSNG:1473:NRLR:1496:MNGD:1546:RGDA:1600:PVPT:1645:VBL:1670:VZM:1724:CHE:1793:PSA:1866:BAM:1940:CAP:1961:KIT:1999:BALU:2016:KAPG:2043:KUR:2087:SIL:2114:PURI:2130
12958,Adi Sj Rajdhani,NDLS:0:DEC:16:GGN:32:JP:309:AII:443:ABR:748:PNU:801:MSH:866:SBT:929:ADI:934
19944,Adi Udz Express,ADI:0:ASV:2:SDGM:7:HMT:88:DNRP:183:JYM:235:ZW:258:KRCD:273:UDZ:298
19407,Adi Varanasi Express,ADI:0:SBI:7:MSH:70:PNU:135:ABR:187:FA:286:MJ:353:AII:492:JP:627:AWR:778:RE:852:GGN:903:DEC:920:DLI:934:MB:1095:BE:1186:LKO:1421:NHH:1510:SLN:1560:JOP:1646:BSB:1704
16501,Adi Ypr Express,ADI:0:ANND:64:BRC:100:AKV:180:ST:229:NDB:389:AN:485:JL:540:MMR:700:KPG:742:BAP:786:ANG:853:DD:936:SUR:1124:GR:1237:WADI:1274:RC:1381:MALM:1410:AD:1451:GTL:1502:GY:1531:ATP:1588:DMM:1621:HUP:1700:YPR:1796
12547,Af Adi Superfast Express,AF:0:BTE:54:JP:241:AII:376:BER:428:MJ:516:FA:582:ABR:681:PNU:734:MSH:799:ADI:867
12195,Af Aii Intercit,AF:0:IDH:2:AH:27:BTE:54:NBI:83:KL:99:MURD:119:BKI:151:DO:180:GTJT:230:GADJ:236:JP:241:KSG:347:AII:376
9612,Af Aii Special ,
12036,Af Jp Shatbdi,AF:0:BTE:54:JP:241
12954,Ag Kranti Rjdhn,NZM:0:MTJ:134:SWM:350:KOTA:458:NAD:683:RTM:724:BRC:986:BH:1056:ST:1115:BL:1183:VAPI:1207:BVI:1347:ADH:1360:BCT:1377
13168,Agc Koaa Express,AGC:0:MTJ:54:HTC:96:KSJ:159:FBD:267:FGR:272:KJN:326:CPA:404:CNB:406:LKO:480:RBL:558:GNG:605:AME:618:PBH:653:BSB:781:MGS:798:DOS:916:GAYA:1001:DHN:1200:ASN:1258:KOAA:1461
12320,Agc Koaa Express,AGC:0:MTJ:54:KSJ:159:FBD:267:CNB:406:MGS:742:GAYA:945:DHN:1143:ASN:1202:DGR:1244:KOAA:1405
1436,Agc Pune Special ,
1016,Agcltt  Special ,
12342,Agnibina Express,ASN:0:RNG:19:UDL:26:DGR:43:PAN:58:BWN:106:HWH:200
12341,Agnibina Express,HWH:0:BWN:95:PAN:143:DGR:158:UDL:175:RNG:182:ASN:200
12548,Agra Super Fast,ADI:0:MSH:68:PNU:133:ABR:186:FA:285:MJ:351:BER:439:AII:491:JP:626:BTE:813:AF:867
52575,Agtl Dmr Passenger,AGTL:0:JGNR:5:JRNA:18:TLMR:38:ABSA:68:MANU:87:KUGT:108:PEC:118:PASG:129:DMR:141
15696,Agtl Lmg Express,AGTL:0:JGNR:5:JRNA:18:TLMR:38:ABSA:68:MANU:87:KUGT:108:PEC:118:DMR:141:CBZ:153:PTKD:176:BRGM:184:KXJ:206:BPB:227:HJO:276:JTG:294:LFG:308:MBG:347:LMG:412
16326,Ahilyanagari Express,TVC:0:QLN:65:KYJ:106:HAD:119:AMPA:137:ALLP:149:SRTL:173:ERS:206:AWY:225:AFK:234:CKI:250:IJK:256:TCR:280:WKI:296:SRR:313:OTP:326:PGT:357:CBE:412:TUP:462:ED:512:SA:575:JTJ:695:KPD:778:MAS:908:GDR:1045:NLR:1083:OGL:1199:CLX:1249:TEL:1306:BZA:1338:KMT:1439:WL:1546:RDM:1647:MCI:1661:BPA:1680:SKZR:1719:BPQ:1789:CD:1803:HGT:1887:SEGM:1924:NGP:2000:PAR:2104:AMLA:2167:BZU:2190:GDYA:2227:ET:2297:BPL:2389:SJP:2469:UJN:2572:DWX:2612:INDB:2651
16325,Ahilyanagari Express,INDB:0:DWX:39:UJN:80:SJP:183:BPL:263:ET:355:GDYA:425:BZU:462:AMLA:484:PAR:548:NGP:652:SEGM:728:HGT:765:CD:849:BPQ:863:SKZR:933:BPA:971:MCI:991:RDM:1005:WL:1105:KMT:1213:BZA:1314:TEL:1346:CLX:1403:OGL:1452:NLR:1568:GDR:1607:MAS:1744:KPD:1873:JTJ:1957:SA:2077:ED:2140:TUP:2190:CBE:2240:PGT:2295:OTP:2326:SRR:2339:WKI:2355:TCR:2372:IJK:2396:CKI:2402:AFK:2417:AWY:2426:ERN:2443:ERS:2446:SRTL:2479:ALLP:2503:AMPA:2515:HAD:2533:KYJ:2546:QLN:2587:TVC:2651
11096,Ahimsa Express,PUNE:0:LNL:64:KJT:92:KYN:139:BIRD:164:BSR:191:DRD:263:VAPI:314:BL:338:NVS:377:ST:406:BH:465:BRC:535:ANND:571:ND:589:ADI:635
11095,Ahimsa Express,ADI:0:ND:46:ANND:64:BRC:100:BH:170:ST:229:NVS:259:BL:298:VAPI:322:DRD:372:BSR:444:BIRD:471:KYN:496:KJT:543:LNL:571:SVJR:632:PUNE:635
16502,Ahmadabad Express,YPR:0:HUP:96:DMM:175:ATP:209:GY:266:GTL:294:AD:346:RC:415:WADI:522:GR:559:SUR:672:DD:860:ANG:944:BAP:1011:KPG:1055:MMR:1097:JL:1256:AN:1312:NDB:1407:ST:1567:AKV:1617:BRC:1696:ANND:1732:MAN:1793:ADI:1796
59440,Ahmadabad Passenger,ADI:0:MAN:4:VTA:8:BJD:17:KANJ:21:NEP:25:MHD:29:GTE:37:ND:46:KBRV:57:ANND:64:VXD:71:ADD:75:VDA:80:RNO:87:BJW:93:BRC:100:ITA:118:MYG:130:PLJ:145:BH:170:AKV:180:PAO:190:HAT:194:KSB:198:KIM:206:SYN:216:GTX:219:KSE:222:URN:226:ST:229:UDN:233:BHET:238:SCH:244:MRL:250:NVS:259:VDH:267:ACL:271:AML:274:BIM:279:JRS:284:DGI:289:BL:298:ATUL:304:PAD:308:UVD:314:VAPI:322:KEB:330:BLD:335:SJN:346:UBR:352:GVD:361:DRD:372:VGN:384:BOR:393:PLG:405:KLV:413:SAH:419:VTN:427:VR:436:BSR:444:BVI:462
59439,Ahmadabad Passenger,BCT:0:DDR:6:ADH:18:BVI:30:BSR:48:VR:56:VTN:64:SAH:73:KLV:79:PLG:87:BOR:99:VGN:108:DRD:120:GVD:131:UBR:140:SJN:145:BLD:157:KEB:162:VAPI:170:UVD:178:PAD:184:ATUL:187:BL:194:DGI:203:JRS:208:BIM:212:AML:218:ACL:221:VDH:225:NVS:233:MRL:242:SCH:248:BHET:253:UDN:259:ST:263:URN:266:KSE:270:GTX:273:SYN:276:KIM:286:KSB:294:HAT:298:PAO:302:AKV:312:BH:322:NIU:334:VRE:341:PLJ:347:MYG:362:ITA:374:BRC:392:BJW:399:RNO:404:NDR:407:VDA:412:ADD:417:VXD:421:ANND:427:KBRV:435:UTD:440:ND:446:GTE:455:MHD:463:NEP:467:KANJ:470:BJD:475:GER:478:VTA:483:MAN:488:ADI:491
19405,Ahmedabad Ac Express,YPR:0:ASK:160:DVG:320:UBL:464:GDG:522:BDM:589:BGK:615:BJP:712:SUR:822:PUNE:1085:LNL:1149:KYN:1223:BSR:1276:VAPI:1398:ST:1491:AKV:1540:BRC:1619:ANND:1655:ADI:1719
9419,Ahmedabad Express ,
11050,Ahmedabad Express,KOP:0:MRJ:48:SLI:55:STR:181:PUNE:327:LNL:390:KJT:419:KYN:465:BIRD:490:BSR:517:VAPI:640:NVS:703:ST:732:BH:791:BRC:861:ANND:897:ND:915:ADI:961
59442,Ahmedabad Passenger,ADI:0:MAN:4:VTA:8:GER:14:BJD:17:KANJ:21:NEP:25:MHD:29:GTE:37:ND:46:UTD:51:KBRV:57:ANND:64:VXD:71:ADD:75:VDA:80:NDR:85:RNO:87:BJW:93:BRC:100:VS:103:MPR:109:VRM:114:ITA:118:KSPR:122:MYG:130:LKD:138:PLJ:145:VRE:151:NIU:158:CVJ:165:BH:170:AKV:180:PAO:190:HAT:194:KSB:198:KIM:206:SYN:216:GTX:219:KSE:222:URN:226:ST:229:UDN:233:BHET:238:SCH:244:MRL:250:NVS:259:VDH:267:ACL:271:AML:274:BIM:279:DGI:289:BL:298:PAD:308:UVD:314:VAPI:322:KEB:330:BLD:335:SJN:346:UBR:352:GVD:361:DRD:372:VGN:384:BOR:393:PLG:405:KLV:413:SAH:419:VR:436:BSR:444:BVI:462:DDR:486:BCT:491
59441,Ahmedabad Passenger,BCT:0:DDR:6:BVI:30:BYR:39:BSR:48:VR:56:SAH:73:KLV:79:PLG:87:BOR:99:VGN:108:DRD:120:GVD:131:UBR:140:SJN:145:BLD:157:KEB:162:VAPI:170:UVD:178:PAD:184:BL:194:DGI:203:BIM:212:AML:218:ACL:221:VDH:225:NVS:233:MRL:242:SCH:248:BHET:253:UDN:259:ST:263:URN:266:KSE:270:GTX:273:SYN:276:KIM:286:KSB:294:HAT:298:PAO:302:AKV:312:BH:322:CVJ:327:NIU:334:VRE:341:PLJ:347:LKD:354:MYG:362:KSPR:370:ITA:374:VRM:377:MPR:383:VS:389:BRC:392:BJW:399:RNO:404:NDR:407:VDA:412:ADD:417:VXD:421:ANND:427:KBRV:435:UTD:440:ND:446:GTE:455:MHD:463:NEP:467:BJD:475:GER:478:VTA:483:MAN:488:ADI:491:ST:263:NOL:272:CHM:278:BGMR:282:GGAR:287:BIY:293:TBV:300:MID:308:KRAI:314:VYA:324:KKRD:335:DSD:337:USD:342:BBAI:354:NWU:365:KFF:376:CPD:382:KHTG:392:KBH:400:DWD:414:NDB:423
9649,Aii Adi Special ,
12196,Aii Af Intercit,AII:0:KSG:29:JP:135:GADJ:141:GTJT:146:DO:196:BKI:225:MURD:258:KL:277:NBI:294:BTE:322:AH:350:IDH:374:AF:376
9611,Aii Af Special ,
5712,Aii Apdj Special ,
22996,Aii Bdts Superfast Express,AII:0:BJNR:66:BHL:132:COR:186:NMH:242:MDS:291:JAO:342:RTM:375:DHD:489:BRC:637:BH:707:ST:766:VAPI:858:BVI:998:BDTS:1017
9619,Aii Bdts Urs Special ,
9602,Aii Beas Special ,
13424,Aii Bgp Express,AII:0:NSD:24:BJNR:66:BHL:132:CNA:179:KOTA:343:GUNA:527:KTE:909:STA:1007:MGS:1320:PNBE:1532:KIUL:1655:AHA:1678:JMP:1700:BGP:1753
5286,Aii Bju Special ,
12983,Aii Cdg G Rath,AII:0:KSG:29:FL:80:JP:135:DO:196:AWR:286:RE:360:BNW:443:ROK:492:PNP:563:KUN:598:KKDE:631:UMB:672:CDG:740
5104,Aii Cpr Special ,
12990,Aii Ddr  Express,AII:0:BER:53:SOD:119:MJ:140:RANI:192:FA:207:JWB:223:SOH:262:ABR:306:PNU:358:CHP:375:UJA:402:MSH:423:ADI:491:ND:537:ANND:555:BRC:591:BH:661:ST:720:NVS:749:BL:788:BVI:953:DDR:976
9627,Aii Dee Superfast Special ,
4042,Aii Dli Superfast Special ,
18208,Aii Durg Express,AII:0:KSG:29:FL:80:JP:135:DPA:142:SWM:266:KOTA:374:BAZ:441:GUNA:559:ASKN:603:SGO:752:KMZ:938:UMR:997:SDL:1064:BUH:1084:APR:1105:PND:1155:BSP:1256:BYT:1302:R:1366:DURG:1403
19609,Aii Hw Express,AII:0:KSG:29:FL:80:JOB:98:JP:135:GADJ:141:DO:196:BKI:225:AWR:286:RE:360:DLI:442:DSA:448:BTU:497:SMQL:536:TPZ:599:RK:631:HW:672
9640,Aii Hw Special ,
3002,Aii Hwh Special ,
17019,Aii Hyb Express,AII:0:BJNR:66:BHL:132:COR:186:NMH:242:MDS:291:RTM:375:NAD:416:UJN:471:BPL:655:ET:747:HD:822:KNW:930:BAU:999:BSL:1053:JL:1078:MMR:1238:NSL:1260:AWB:1349:J:1412:PBN:1527:NED:1586:BSX:1667:NZB:1696:KMC:1748:MED:1829:MJF:1853:SC:1857:HYB:1866
12719,Aii Hyb Superfast Express,AII:0:BHL:132:COR:186:NMH:242:MDS:291:RTM:375:UJN:471:BPL:655:ET:747:KNW:930:AK:1193:WHM:1272:HNL:1320:BMF:1378:PAU:1400:NED:1431:MUE:1453:NZB:1541:KMC:1593:SC:1702:HYB:1711
7019,Aii Hyb Special ,
7126,Aii Hyb Special ,
12066,Aii Jan Shatabd,NZM:0:DEC:23:GGN:40:RE:91:NNL:143:NMK:193:RGS:239:FL:306:KSG:357:AII:386
12413,Aii Jat Express,AII:0:KSG:29:FL:80:JP:135:GADJ:141:DO:196:BKI:225:RHG:250:AWR:286:KRH:313:RE:360:GGN:411:DEC:428:DLI:442:KUN:565:UMB:639:LDH:753:JRC:805:PTKC:918:KTHU:941:JAT:1017
9720,Aii Jp Express ,
9621,Aii Jp Intercit ,
